source_index,edit_index,model,similarity,face_detected,confidence,output_url
1,5,nb2_ref,0.6551377773284912,true,0.7970532178878784,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthq4ap8k647s4s577dbpe1.png
3,1,nb2_ref,0.6797434091567993,true,0.8891289234161377,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthqxapb5y0akcv642pg8kd.png
3,2,nb2_ref,0.556578516960144,true,0.8994155526161194,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthrdcyax309yrmh6p8v029.png
3,3,nb2_ref,0.72556471824646,true,0.827383816242218,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmths8c6y8any86nvggfvfzk.png
3,4,nb2_ref,0.6273975372314453,true,0.8541963696479797,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthsg9vyxj5j4ht326g32jc.png
3,5,nb2_ref,0.7242879271507263,true,0.8743642568588257,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthte0kv3csa9wwbqxn61kz.png
5,1,nb2_ref,0.6103137731552124,true,0.827587902545929,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthtx1df84pm4hpyp82kqe2.png
5,2,nb2_ref,0.5109717845916748,true,0.8843473792076111,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthvgv92w6x4epndbn6ezv2.png
5,3,nb2_ref,0.559279203414917,true,0.8237426280975342,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthwb436pbhm6q24k116tvq.png
5,4,nb2_ref,0.5611408948898315,true,0.861713707447052,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthwpbwg1dtwf8ehnb0nrgt.png
5,5,nb2_ref,0.8124310970306396,true,0.8460695743560791,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthxm7qgedm3pf0jfc41kk7.png
8,1,nb2_ref,0.6855909824371338,true,0.8251789212226868,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthym7989j508qbd6p5emxm.png
8,2,nb2_ref,0.5144915580749512,true,0.8311537504196167,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthz0tpfe0k8sjqh9k8mgez.png
8,3,nb2_ref,0.5021438598632812,true,0.7652202248573303,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj0ertd07vjs0fxfsymjrt.png
8,4,nb2_ref,0.6743486523628235,true,0.7958723902702332,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj051h387khv5hdkq0mr6r.png
8,5,nb2_ref,0.6063530445098877,true,0.8689164519309998,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj166mrf42jhrps6pz81bs.png
