prompt_index,model,score
93,phota,0.2296600341796875
94,phota,0.28353896737098694
95,phota,0.18763506412506104
96,phota,0.24695348739624023
97,phota,0.29718735814094543
98,phota,0.2661116123199463
99,phota,0.30042338371276855
100,phota,0.2636784017086029
9,phota,0.2630293071269989
1,nb2,0.2793852984905243
2,nb2,0.23449507355690002
3,nb2,0.2423582226037979
4,nb2,0.2881588339805603
5,nb2,0.25904467701911926
6,nb2,0.2558310627937317
7,nb2,0.23089000582695007
8,nb2,0.274239182472229
9,nb2,0.25122401118278503
10,nb2,0.27346882224082947
11,nb2,0.28529462218284607
12,nb2,0.2524835765361786
14,nb2,0.2735617458820343
15,nb2,0.2483353316783905
16,nb2,0.2923664152622223
17,nb2,0.29193997383117676
18,nb2,0.31229302287101746
19,nb2,0.26413366198539734
20,nb2,0.26759082078933716
21,nb2,0.27344372868537903
22,nb2,0.27937188744544983
23,nb2,0.2734859585762024
24,nb2,0.26311206817626953
25,nb2,0.29091525077819824
26,nb2,0.2764371931552887
27,nb2,0.3013986647129059
28,nb2,0.2606995403766632
29,nb2,0.2611505091190338
30,nb2,0.25515222549438477
31,nb2,0.3108035922050476
33,nb2,0.27072495222091675
34,nb2,0.22335319221019745
35,nb2,0.25709277391433716
36,nb2,0.29868265986442566
37,nb2,0.30719488859176636
38,nb2,0.2922980487346649
39,nb2,0.29319316148757935
40,nb2,0.2091260701417923
42,nb2,0.2826118767261505
43,nb2,0.27418389916419983
44,nb2,0.2124650478363037
45,nb2,0.26589441299438477
46,nb2,0.25380268692970276
47,nb2,0.19671630859375
49,nb2,0.22552309930324554
50,nb2,0.2487735152244568
51,nb2,0.2456541806459427
52,nb2,0.2552047073841095
53,nb2,0.2465735524892807
54,nb2,0.2595095634460449
55,nb2,0.259890079498291
56,nb2,0.22082296013832092
57,nb2,0.2961389720439911
58,nb2,0.26943182945251465
59,nb2,0.24335871636867523
60,nb2,0.32112812995910645
61,nb2,0.27397996187210083
62,nb2,0.2919100821018219
63,nb2,0.3085862398147583
64,nb2,0.2109917849302292
66,nb2,0.3207561671733856
67,nb2,0.25297755002975464
68,nb2,0.2675609290599823
69,nb2,0.315132737159729
71,nb2,0.25585612654685974
72,nb2,0.2837234139442444
73,nb2,0.2933158576488495
74,nb2,0.3252387046813965
75,nb2,0.28505459427833557
76,nb2,0.2548759877681732
77,nb2,0.3142733573913574
78,nb2,0.2522116005420685
79,nb2,0.270205020904541
80,nb2,0.2742629945278168
81,nb2,0.2850419580936432
82,nb2,0.29056957364082336
83,nb2,0.2691420316696167
84,nb2,0.2629343867301941
85,nb2,0.2120566964149475
86,nb2,0.2689875066280365
87,nb2,0.18822737038135529
88,nb2,0.29694944620132446
89,nb2,0.28332898020744324
90,nb2,0.30585977435112
91,nb2,0.29932576417922974
92,nb2,0.2766459882259369
93,nb2,0.26371923089027405
94,nb2,0.2806994318962097
95,nb2,0.2703532874584198
96,nb2,0.27285683155059814
97,nb2,0.3535166084766388
98,nb2,0.23689468204975128
99,nb2,0.31639423966407776
100,nb2,0.27244532108306885
13,nb2,0.24111579358577728
32,nb2,0.23140132427215576
41,nb2,0.24879711866378784
48,nb2,0.23174111545085907
65,nb2,0.31092706322669983
70,nb2,0.2828482687473297
